Code,Name,Country,Exchange,Currency,Type
171,Peterlabs Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
172,Ock Group Bhd,Malaysia,KLSE,MYR,Common Stock
173,Rev Asia Bhd,Malaysia,KLSE,MYR,Common Stock
174,iDimension Consolidated Bhd,Malaysia,KLSE,MYR,Common Stock
175,Heng Huat Resources Group Bhd,Malaysia,KLSE,MYR,Common Stock
176,Kronologi Asia Bhd,Malaysia,KLSE,MYR,Common Stock
177,Pasukhas Group Bhd,Malaysia,KLSE,MYR,Common Stock
178,Sedania Innovator Bhd,Malaysia,KLSE,MYR,Common Stock
179,Bioalpha Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
180,Kim Teck Cheong Consolidated Bhd,Malaysia,KLSE,MYR,Common Stock
181,Aemulus Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
182,LKL International Bhd,Malaysia,KLSE,MYR,Common Stock
183,Salutica Bhd,Malaysia,KLSE,MYR,Common Stock
185,HSS Engineers Bhd,Malaysia,KLSE,MYR,Common Stock
186,Perak Transit Bhd,Malaysia,KLSE,MYR,Common Stock
187,BCM Alliance Bhd,Malaysia,KLSE,MYR,Common Stock
188,HLT Global Bhd,Malaysia,KLSE,MYR,Common Stock
189,Matang Bhd,Malaysia,KLSE,MYR,Common Stock
190,Eversafe Rubber Bhd,Malaysia,KLSE,MYR,Common Stock
191,Cabnet Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
192,Inta Bina Group Bhd,Malaysia,KLSE,MYR,Common Stock
193,Kejuruteraan Asastera Bhd,Malaysia,KLSE,MYR,Common Stock
195,Binasat Communications Bhd,Malaysia,KLSE,MYR,Common Stock
196,QES Group Bhd,Malaysia,KLSE,MYR,Common Stock
197,WEGMANS HOLDINGS BERHAD,Malaysia,KLSE,MYR,Common Stock
198,GDB Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
200,Revenue Group Bhd,Malaysia,KLSE,MYR,Common Stock
201,Nova Wellness Group,Malaysia,KLSE,MYR,Common Stock
202,Radiant Globaltech Bhd,Malaysia,KLSE,MYR,Common Stock
203,Securemetric Bhd,Malaysia,KLSE,MYR,Common Stock
205,DPI Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
206,Gagasan Nadi Cergas Bhd,Malaysia,KLSE,MYR,Common Stock
207,Mestron Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
208,GREATECH TECHNOLOGY BERHAD ,Malaysia,KLSE,MYR,Common Stock
209,ISTONE,Malaysia,KLSE,MYR,Common Stock
210,Kim Hin Joo (Malaysia) Bhd,Malaysia,KLSE,MYR,Common Stock
211,Tashin Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
212,SDS Group Bhd,Malaysia,KLSE,MYR,Common Stock
213,MTAG Group Bhd,Malaysia,KLSE,MYR,Common Stock
215,Solarvest Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
216,Spring Art Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
217,Powerwell Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
218,ACO Group Bhd,Malaysia,KLSE,MYR,Common Stock
0827EA,MyETF Dow Jones U.S. Titans 50 (USD),Malaysia,KLSE,USD,Common Stock
1007,Amcorp Properties Berhad,Malaysia,KLSE,MYR,Common Stock
1015,AMMB Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
1023,CIMB Group Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
1058,Manulife Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
1066,RHB Capital Berhad,Malaysia,KLSE,MYR,Common Stock
1082,Hong Leong Financial Group Berhad,Malaysia,KLSE,MYR,Common Stock
1147,Global Oriental Bhd,Malaysia,KLSE,MYR,Common Stock
1155,Malayan Banking Berhad,Malaysia,KLSE,MYR,Common Stock
1163,Allianz Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
1163PA,Allianz Malaysia Bhd,Malaysia,KLSE,MYR,Common Stock
1171,Malaysia Building Society Bhd,Malaysia,KLSE,MYR,Common Stock
1198,MAA Group Berhad,Malaysia,KLSE,MYR,Common Stock
1287,Pan Malaysia Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
1295,Public Bank Berhad,Malaysia,KLSE,MYR,Common Stock
1368,UEM Edgenta Berhad,Malaysia,KLSE,MYR,Common Stock
1481,Advance Synergy Berhad,Malaysia,KLSE,MYR,Common Stock
1503,GuocoLand (Malaysia) Berhad,Malaysia,KLSE,MYR,Common Stock
1538,Symphony Life Berhad,Malaysia,KLSE,MYR,Common Stock
1562,Berjaya Sports Toto Berhad,Malaysia,KLSE,MYR,Common Stock
1589,Iskandar Waterfront City Berhad,Malaysia,KLSE,MYR,Common Stock
1619,DRB-HICOM Berhad,Malaysia,KLSE,MYR,Common Stock
1643,Landmarks Bhd,Malaysia,KLSE,MYR,Common Stock
1651,Malaysian Resources Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
1694,Menang Corp. M Bhd,Malaysia,KLSE,MYR,Common Stock
1724,Paramount Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
1818,Bursa Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
1899,Batu Kawan Berhad,Malaysia,KLSE,MYR,Common Stock
1902,Pinehill Pacific Berhad,Malaysia,KLSE,MYR,Common Stock
1929,Chin Teck Plantations Berhad,Malaysia,KLSE,MYR,Common Stock
1961,IOI Corp.Bhd,Malaysia,KLSE,MYR,Common Stock
1996,Kretam Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
2038,Negri Sembilan Oil Palms Berhad,Malaysia,KLSE,MYR,Common Stock
2054,TDM Berhad,Malaysia,KLSE,MYR,Common Stock
